language,structure,case,n,implementation,run,time_sec
python,binary_heap,2. Push reverse sequential,15000000,BinaryHeap,3,70.543816967
python,binary_heap,2. Push reverse sequential,15000000,BinaryHeap,4,70.521098467
python,binary_heap,2. Push reverse sequential,15000000,BinaryHeap,5,70.456129100
python,binary_heap,2. Push reverse sequential,15000000,heapq,1,5.130226473
python,binary_heap,2. Push reverse sequential,15000000,heapq,2,5.097972323
python,binary_heap,2. Push reverse sequential,15000000,heapq,3,5.067967275
python,binary_heap,2. Push reverse sequential,15000000,heapq,4,5.113886258
python,binary_heap,2. Push reverse sequential,15000000,heapq,5,5.120662005
python,binary_heap,3. Push random,10000,BinaryHeap,1,0.005717254
python,binary_heap,3. Push random,10000,BinaryHeap,2,0.005656028
python,binary_heap,3. Push random,10000,BinaryHeap,3,0.005645390
python,binary_heap,3. Push random,10000,BinaryHeap,4,0.006033941
python,binary_heap,3. Push random,10000,BinaryHeap,5,0.005648011
python,binary_heap,3. Push random,10000,heapq,1,0.000749450
python,binary_heap,3. Push random,10000,heapq,2,0.000742082
python,binary_heap,3. Push random,10000,heapq,3,0.000740641
python,binary_heap,3. Push random,10000,heapq,4,0.000768532
python,binary_heap,3. Push random,10000,heapq,5,0.000740058
python,binary_heap,3. Push random,50000,BinaryHeap,1,0.029528613
python,binary_heap,3. Push random,50000,BinaryHeap,2,0.029402888
python,binary_heap,3. Push random,50000,BinaryHeap,3,0.030060499
python,binary_heap,3. Push random,50000,BinaryHeap,4,0.029132761
python,binary_heap,3. Push random,50000,BinaryHeap,5,0.028966795
python,binary_heap,3. Push random,50000,heapq,1,0.004146544
python,binary_heap,3. Push random,50000,heapq,2,0.004029803
python,binary_heap,3. Push random,50000,heapq,3,0.004075683
python,binary_heap,3. Push random,50000,heapq,4,0.004202037
python,binary_heap,3. Push random,50000,heapq,5,0.004399598
python,binary_heap,3. Push random,100000,BinaryHeap,1,0.060687851
python,binary_heap,3. Push random,100000,BinaryHeap,2,0.059657409
python,binary_heap,3. Push random,100000,BinaryHeap,3,0.060855633
python,binary_heap,3. Push random,100000,BinaryHeap,4,0.059345194
python,binary_heap,3. Push random,100000,BinaryHeap,5,0.059507500
python,binary_heap,3. Push random,100000,heapq,1,0.009465793
python,binary_heap,3. Push random,100000,heapq,2,0.009158203
python,binary_heap,3. Push random,100000,heapq,3,0.009115834
python,binary_heap,3. Push random,100000,heapq,4,0.009128271
python,binary_heap,3. Push random,100000,heapq,5,0.009009004
python,binary_heap,3. Push random,200000,BinaryHeap,1,0.131506400
python,binary_heap,3. Push random,200000,BinaryHeap,2,0.122176172
python,binary_heap,3. Push random,200000,BinaryHeap,3,0.121918262
python,binary_heap,3. Push random,200000,BinaryHeap,4,0.121707595
python,binary_heap,3. Push random,200000,BinaryHeap,5,0.123894514
python,binary_heap,3. Push random,200000,heapq,1,0.019712143
python,binary_heap,3. Push random,200000,heapq,2,0.019152029
python,binary_heap,3. Push random,200000,heapq,3,0.020490335
python,binary_heap,3. Push random,200000,heapq,4,0.019684207
python,binary_heap,3. Push random,200000,heapq,5,0.020082500
python,binary_heap,3. Push random,500000,BinaryHeap,1,0.307322246
python,binary_heap,3. Push random,500000,BinaryHeap,2,0.308155023
python,binary_heap,3. Push random,500000,BinaryHeap,3,0.306281158
python,binary_heap,3. Push random,500000,BinaryHeap,4,0.307323153
python,binary_heap,3. Push random,500000,BinaryHeap,5,0.312062075
python,binary_heap,3. Push random,500000,heapq,1,0.057787966
python,binary_heap,3. Push random,500000,heapq,2,0.059410481
python,binary_heap,3. Push random,500000,heapq,3,0.057464829
python,binary_heap,3. Push random,500000,heapq,4,0.056621898
python,binary_heap,3. Push random,500000,heapq,5,0.058390592
python,binary_heap,3. Push random,1000000,BinaryHeap,1,0.642505378
python,binary_heap,3. Push random,1000000,BinaryHeap,2,0.635307615
python,binary_heap,3. Push random,1000000,BinaryHeap,3,0.641251177
python,binary_heap,3. Push random,1000000,BinaryHeap,4,0.636605666
python,binary_heap,3. Push random,1000000,BinaryHeap,5,0.642662315
python,binary_heap,3. Push random,1000000,heapq,1,0.132518523
python,binary_heap,3. Push random,1000000,heapq,2,0.138393839
python,binary_heap,3. Push random,1000000,heapq,3,0.132946092
python,binary_heap,3. Push random,1000000,heapq,4,0.136765540
python,binary_heap,3. Push random,1000000,heapq,5,0.131671998
python,binary_heap,3. Push random,2000000,BinaryHeap,1,1.277447448
python,binary_heap,3. Push random,2000000,BinaryHeap,2,1.278204993
python,binary_heap,3. Push random,2000000,BinaryHeap,3,1.270787432
python,binary_heap,3. Push random,2000000,BinaryHeap,4,1.285190329
python,binary_heap,3. Push random,2000000,BinaryHeap,5,1.281928523
python,binary_heap,3. Push random,2000000,heapq,1,0.275287935
python,binary_heap,3. Push random,2000000,heapq,2,0.277123998
python,binary_heap,3. Push random,2000000,heapq,3,0.276825482
python,binary_heap,3. Push random,2000000,heapq,4,0.271957445
python,binary_heap,3. Push random,2000000,heapq,5,0.270408608
python,binary_heap,3. Push random,5000000,BinaryHeap,1,3.199099292
python,binary_heap,3. Push random,5000000,BinaryHeap,2,3.200040835
python,binary_heap,3. Push random,5000000,BinaryHeap,3,3.218592628
python,binary_heap,3. Push random,5000000,BinaryHeap,4,3.247506569
python,binary_heap,3. Push random,5000000,BinaryHeap,5,3.206134954
python,binary_heap,3. Push random,5000000,heapq,1,0.687947564
python,binary_heap,3. Push random,5000000,heapq,2,0.668399229
python,binary_heap,3. Push random,5000000,heapq,3,0.691560208
python,binary_heap,3. Push random,5000000,heapq,4,0.676462660
python,binary_heap,3. Push random,5000000,heapq,5,0.662799415
python,binary_heap,3. Push random,10000000,BinaryHeap,1,7.796394904
python,binary_heap,3. Push random,10000000,BinaryHeap,2,7.323231746
python,binary_heap,3. Push random,10000000,BinaryHeap,3,6.922384542
python,binary_heap,3. Push random,10000000,BinaryHeap,4,8.953664819
python,binary_heap,3. Push random,10000000,BinaryHeap,5,7.688256747
python,binary_heap,3. Push random,10000000,heapq,1,1.440228506
python,binary_heap,3. Push random,10000000,heapq,2,1.987779313
python,binary_heap,3. Push random,10000000,heapq,3,2.273122735
python,binary_heap,3. Push random,10000000,heapq,4,1.694623074
python,binary_heap,3. Push random,10000000,heapq,5,1.393263923
python,binary_heap,3. Push random,15000000,BinaryHeap,1,10.149630793
python,binary_heap,3. Push random,15000000,BinaryHeap,2,10.005561811
python,binary_heap,3. Push random,15000000,BinaryHeap,3,9.981033674
python,binary_heap,3. Push random,15000000,BinaryHeap,4,10.019298780
python,binary_heap,3. Push random,15000000,BinaryHeap,5,9.982365973
python,binary_heap,3. Push random,15000000,heapq,1,2.308925783
python,binary_heap,3. Push random,15000000,heapq,2,2.377108003
python,binary_heap,3. Push random,15000000,heapq,3,2.350294955
python,binary_heap,3. Push random,15000000,heapq,4,2.315716954
python,binary_heap,3. Push random,15000000,heapq,5,2.344533870
python,binary_heap,4. Heapify random,10000,BinaryHeap,1,0.005031858
python,binary_heap,4. Heapify random,10000,BinaryHeap,2,0.004386559
python,binary_heap,4. Heapify random,10000,BinaryHeap,3,0.004088017
python,binary_heap,4. Heapify random,10000,BinaryHeap,4,0.005766039
